Time,ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),319A Temp (ºF),66NA Temp (ºF),Motor Temp,App message
71.2582615,1700,,0.283707981,3.950882175,23.3627197,13.96708326,6372,326.3083709,256.6844131,78.66602491,0.015391955,0.012108158,78.0125,76.325,81.1625,
71.7977235,1700,,0.281154912,3.948348834,23.36379161,13.94172282,6375,325.730248,254.4853779,78.13253909,0.015515585,0.012122468,78.09125,76.325,81.1625,
72.3327345,1700,,0.282958422,3.974662373,23.35891661,14.00266024,6373,327.0865161,256.0151564,78.27239784,0.015525104,0.012151848,78.125,76.325,81.1625,
72.88171475,1700,,0.284461128,3.997400049,23.36147417,13.95159286,6373,325.9290148,257.3937842,78.97550985,0.0155304,0.012265184,78.125,76.325,81.1625,
73.425465,1700,,0.280864217,3.95320418,23.36155359,13.94275506,6373,325.7241491,254.1269654,78.02059595,0.015556036,0.012136888,78.125,76.325,81.1625,
73.963093,1700,,0.284095855,3.988686072,23.34730679,14.13477189,6374,330.0075695,257.1072898,77.91384321,0.015513738,0.012087394,78.153125,76.325,81.190625,
74.47631375,1700,,0.284228246,4.006300635,23.34995495,14.081815,6376,328.8082969,257.2894112,78.25580066,0.015571256,0.01218551,78.2375,76.325,81.275,
75.01957325,1700,,0.282045312,4.002158308,23.34683483,14.1165302,6372,329.5757377,255.1833795,77.43065951,0.015683664,0.012143849,78.2375,76.325,81.275,
75.5431485,1700,,0.28364783,3.994120539,23.35053693,14.04323663,6373,327.9168529,256.6425408,78.26593258,0.01556298,0.012180487,78.130625,76.325,81.381875,
76.07612425,1700,,0.2843576,4.02919309,23.34881165,14.05754615,6373,328.2264601,257.2980019,78.39285611,0.015659641,0.01227607,78.125,76.325,81.3875,
76.62305125,1700,,0.284496438,4.035346568,23.34596167,14.08712943,6373,328.8774468,257.4094312,78.26960336,0.015676786,0.01227017,78.20375,76.325,81.46625,
77.1725555,1700,,0.283517339,4.002927009,23.34558781,14.0836382,6372,328.7903317,256.5169288,78.02094456,0.015604845,0.01217511,78.2375,76.325,81.5,
77.71373875,1700,,0.283630081,3.996422622,23.34506582,14.07855089,6373,328.6641854,256.6275478,78.0837278,0.015572854,0.012159854,78.288125,76.325,81.5,
78.26148825,1700,,0.280677076,3.94968981,23.35335251,13.95865507,6373,325.9809397,253.9499198,77.90558026,0.015553005,0.012116685,78.35,76.325,81.5,
78.80431575,1700,,0.278360595,3.909412367,23.361762,13.83785256,6372,323.2764499,251.8499025,77.90590807,0.015522771,0.012093161,78.35,76.325,81.528125,
79.3197835,1700,,0.276974111,3.900436871,23.35886107,13.87437245,6378,324.0880066,250.8294371,77.4027066,0.015550396,0.012036562,78.35,76.325,81.6125,
79.8445385,1700,,0.275594244,3.911320581,23.35714268,13.88507824,6373,324.315536,249.3657894,76.89111677,0.015685079,0.01206043,78.35,76.325,81.6125,
80.37447275,1700,,0.277706433,3.937506384,23.35225244,13.94660727,6373,325.6834627,251.2636743,77.15497366,0.015670827,0.012090821,78.35,76.325,81.71375,
80.9410125,1700,,0.279628908,3.946770589,23.35186285,13.94634425,6373,325.6727175,253.0032614,77.68921719,0.015599854,0.012119185,78.35,76.325,81.725,
81.4761225,1700,,0.283221525,3.970865684,23.34492222,14.03704624,6373,327.6932819,256.2580245,78.20250535,0.015495564,0.012117929,78.35,76.325,81.80375,
82.047117,1700,,0.282283689,3.950466167,23.35379778,13.89686462,6372,324.5442945,255.4008378,78.69543099,0.015467703,0.012172373,78.35,76.325,81.8375,
82.57066225,1700,,0.277704235,3.8951728,23.36542673,13.72931803,6373,320.7908784,251.2645506,78.32817125,0.015502319,0.012142688,78.40625,76.325,81.89375,
83.1348045,1700,,0.279051344,3.896078588,23.36099685,13.78149991,6372,321.9492135,252.4651286,78.41930276,0.015432168,0.012101768,78.4625,76.325,81.95,
83.7003655,1700,,0.280659126,3.895349959,23.35932012,13.79541149,6373,322.2512082,253.9459475,78.80539731,0.015339352,0.012088066,78.4625,76.325,81.95,
84.235384,1700,,0.282497568,3.900764672,23.35550327,13.84082594,6389,323.2557163,256.2808139,79.29524657,0.015222016,0.012070559,78.4625,76.325,81.95,
84.74219775,1700,,0.281231009,3.915531825,23.3532705,13.86776304,6373,323.8573221,254.4568131,78.57159374,0.015387802,0.012090435,78.4625,76.325,81.95,
85.23564125,1700,,0.28198241,3.929501798,23.35500422,13.82984188,6372,322.995645,255.1190356,78.98666881,0.015402596,0.012165995,78.575,76.325,82.0625,
85.7343495,1700,,0.278982161,3.90435896,23.35420738,13.83590581,6373,323.1261773,252.4366414,78.12667629,0.01546693,0.012083369,78.575,76.325,82.0625,
