Time (s),ESC (µs),Servo (µs),Torque (lbf·ft),Thrust (lbf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (lbf/W),Overall Efficiency (lbf/W),319A Temp (ºF),66NA Temp (ºF),4LHE Temp (ºF),App message
63.84268875,1700,,0.364129167,5.180319486,22.8867882,19.65501209,7094,449.8400063,366.7671269,81.5331954,0.014124362,0.01151591,74.75,71.7125,78.35,
64.3409525,1700,,0.365435947,5.218475699,22.8793404,19.74760236,7087,451.812055,367.7108139,81.38589282,0.014191796,0.011550131,74.75,71.639375,78.423125,
64.84171525,1700,,0.364716612,5.222034635,22.88338345,19.68907717,7086,450.5526603,366.9506445,81.44467694,0.014230891,0.011590306,74.75,71.6,78.4625,
65.34183875,1700,,0.36518314,5.21368563,22.88342812,19.68507087,7087,450.4618722,367.4407785,81.56990373,0.014189197,0.011574106,74.75,71.6225,78.485,
65.8443925,1700,,0.364081555,5.219661921,22.88310591,19.68099026,7085,450.362029,366.2323553,81.3203374,0.014252365,0.011590014,74.75,71.7125,78.575,
66.349091,1700,,0.361224975,5.175452451,22.88815832,19.61291859,7093,448.9034591,363.7554978,81.03218657,0.014227816,0.011529091,74.75,71.7125,78.575,
66.8425925,1700,,0.358656848,5.155413763,22.88975187,19.59371647,7104,448.4952701,361.7710836,80.66339685,0.014250518,0.011494928,74.75,71.7125,78.659375,
67.342576,1700,,0.358935197,5.167012021,22.88879954,19.6051714,7096,448.7386908,361.6167804,80.58561779,0.014288661,0.011514538,74.75,71.7125,78.6875,
67.85373625,1700,,0.358604008,5.192634687,22.88482531,19.65483091,7086,449.7972807,360.8051776,80.21539736,0.014391824,0.011544401,74.789375,71.7125,78.726875,
68.3529545,1700,,0.364776025,5.225011939,22.87600861,19.76591219,7086,452.1649471,366.9853214,81.16253843,0.014238158,0.011555642,74.8625,71.7125,78.8,
68.84819075,1700,,0.36726428,5.216020392,22.87617979,19.7594516,7083,452.0206757,369.3417376,81.70909535,0.014122662,0.011539387,74.8625,71.7125,78.8,
69.345359,1700,,0.36572906,5.259814643,22.87131917,19.80962538,7066,453.0720904,366.9156516,80.98376963,0.014335212,0.011609186,74.8625,71.605625,78.8,
69.84862725,1700,,0.366528466,5.279891912,22.86793295,19.84605972,7071,453.8381714,367.9774192,81.08117248,0.01434841,0.011633861,74.8625,71.6,78.8,
70.3672805,1700,,0.362653154,5.230419057,22.87639834,19.73693736,7080,451.5099736,364.5545717,80.74126977,0.014347438,0.0115843,74.8625,71.661875,78.8,
70.867938,1700,,0.363129407,5.237415099,22.87651226,19.73801833,7083,451.5369945,365.1864075,80.87634142,0.014341819,0.011599082,74.8625,71.7125,78.8,
71.3730045,1700,,0.363837213,5.22780327,22.8736743,19.77062942,7090,452.2266935,366.2771575,80.9946564,0.014272817,0.011560236,74.879375,71.695625,78.8,
71.86804525,1700,,0.361328385,5.187574422,22.87976483,19.68862377,7096,450.4706936,364.0604292,80.81845099,0.014249173,0.011515934,74.975,71.6,78.8,
72.391462,1700,,0.360364231,5.135549025,22.88365625,19.64551438,7095,449.5610954,363.0044044,80.74636533,0.014147357,0.01142347,74.975,71.6,78.8,
72.89156425,1700,,0.363404832,5.171061947,22.87785613,19.71898974,7089,451.1281153,365.773939,81.08004711,0.014137342,0.011462535,74.975,71.6,78.884375,
73.39746325,1700,,0.362307022,5.196639208,22.87634498,19.73536524,7089,451.4728272,364.6785542,80.77540809,0.014249905,0.011510412,74.975,71.6,78.9125,
73.90145275,1700,,0.3644825,5.193010639,22.87955376,19.69266167,7089,450.5592696,366.8325002,81.4171528,0.01415648,0.011525709,75.014375,71.639375,78.951875,
74.3984025,1700,,0.364448048,5.193800381,22.88014486,19.68546141,7091,450.4061714,366.9400687,81.46875473,0.014154394,0.011531384,75.0875,71.7125,79.025,
74.89249275,1700,,0.362144639,5.169593679,22.88274011,19.64413315,7097,449.51142,364.9252789,81.18288142,0.014166182,0.011500531,75.0875,71.7125,79.025,
75.39530075,1700,,0.361113917,5.162782293,22.88122044,19.66723301,7095,450.0102671,363.7736941,80.8368588,0.014192309,0.011472597,75.18875,71.7125,79.12625,
75.9172205,1700,,0.361410246,5.157019207,22.87788916,19.70406794,7097,450.787265,364.151579,80.78176015,0.014161737,0.011440082,75.2,71.7125,79.1375,
76.4188675,1700,,0.361705053,5.150052823,22.87927379,19.68380143,7092,450.3510534,364.1982227,80.86990504,0.014140793,0.011435645,75.2,71.7125,79.1375,
76.91959225,1700,,0.362267195,5.155855048,22.88243406,19.6400926,7098,449.4130045,365.0992229,81.2395154,0.014121805,0.011472443,75.2,71.7125,79.1375,
77.4250855,1700,,0.363967601,5.160594778,22.87838533,19.69851352,7107,450.6698345,367.2649408,81.4934512,0.014051681,0.011451057,75.2,71.7125,79.17125,
77.92369975,1700,,0.363029013,5.208631215,22.87771822,19.70069431,7094,450.7067037,365.6318892,81.12500792,0.014245956,0.011556592,75.2,71.7125,79.3625,
78.42152375,1700,,0.362289472,5.217810252,22.87842875,19.6845682,7091,450.3519328,364.7230179,80.98636855,0.014306243,0.01158606,75.2,71.7125,79.3625,
78.91913475,1700,,0.358444662,5.151122152,22.88271728,19.62667979,7100,449.1117239,361.3303649,80.45447237,0.014256106,0.011469595,75.2,71.7125,79.44125,
79.42238175,1700,,0.358879123,5.167111684,22.87996786,19.66524689,7090,449.9401273,361.2773339,80.2943891,0.014302472,0.011484023,75.2,71.7125,79.475,
79.927848,1700,,0.359370634,5.147204653,22.88099966,19.64447663,7096,449.4850495,362.0482503,80.54754504,0.014216911,0.011451368,75.23375,71.7125,79.475,
80.4190125,1700,,0.356517067,5.117510095,22.88680985,19.567919,7099,447.8471701,359.328064,80.23469465,0.014241887,0.011426938,75.3125,71.7125,79.475,
